	sender_userid	recipient_userid	dt
0	639138	99443	2017-08-16T13:52:15.0000000
1	639917	420640	2017-08-16T13:52:12.0000000
2	509219	576003	2017-08-16T13:52:08.0000000
3	597728	399089	2017-08-16T13:52:05.0000000
4	637975	628332	2017-08-16T13:52:02.0000000
5	84056	629653	2017-08-16T13:51:57.0000000
6	616357	495872	2017-08-16T13:51:55.0000000
7	509219	576003	2017-08-16T13:51:53.0000000
8	72842	639527	2017-08-16T13:51:45.0000000
9	616357	495872	2017-08-16T13:51:43.0000000
10	639908	641776	2017-08-16T13:51:39.0000000
11	584895	639138	2017-08-16T13:51:38.0000000
12	584895	639138	2017-08-16T13:51:38.0000000
13	399089	597728	2017-08-16T13:51:37.0000000
14	99443	639138	2017-08-16T13:51:36.0000000
15	72842	639527	2017-08-16T13:51:30.0000000
16	584895	639138	2017-08-16T13:51:29.0000000
17	72842	639527	2017-08-16T13:51:20.0000000
18	87386	639138	2017-08-16T13:51:17.0000000
19	99443	639138	2017-08-16T13:51:17.0000000
20	597728	399089	2017-08-16T13:51:16.0000000
21	99443	639138	2017-08-16T13:51:09.0000000
22	639138	584895	2017-08-16T13:51:08.0000000
23	639173	637980	2017-08-16T13:51:07.0000000
24	510227	10359	2017-08-16T13:51:06.0000000
25	72842	639527	2017-08-16T13:51:06.0000000
26	637975	628332	2017-08-16T13:51:03.0000000
27	639908	641864	2017-08-16T13:50:59.0000000
28	72842	639527	2017-08-16T13:50:56.0000000
29	638453	321085	2017-08-16T13:50:48.0000000
30	639138	87386	2017-08-16T13:50:47.0000000
31	584895	639138	2017-08-16T13:50:47.0000000
32	482353	639527	2017-08-16T13:50:43.0000000
33	547196	562865	2017-08-16T13:50:40.0000000
34	72842	639527	2017-08-16T13:50:32.0000000
35	87386	639138	2017-08-16T13:50:28.0000000
36	72842	639527	2017-08-16T13:50:28.0000000
37	629653	84056	2017-08-16T13:50:21.0000000
38	72842	639527	2017-08-16T13:50:18.0000000
39	639173	640488	2017-08-16T13:50:17.0000000
40	639138	99443	2017-08-16T13:50:10.0000000
41	639138	99443	2017-08-16T13:50:07.0000000
42	586093	640436	2017-08-16T13:50:04.0000000
43	84056	629653	2017-08-16T13:49:58.0000000
44	321085	638453	2017-08-16T13:49:58.0000000
45	495872	616357	2017-08-16T13:49:56.0000000
46	590956	539224	2017-08-16T13:49:56.0000000
47	639173	640488	2017-08-16T13:49:55.0000000
48	84056	629653	2017-08-16T13:49:44.0000000
49	99443	639138	2017-08-16T13:49:44.0000000
50	452257	582205	2017-08-16T13:49:43.0000000
51	639138	553063	2017-08-16T13:49:42.0000000
52	521964	641864	2017-08-16T13:49:29.0000000
53	495872	616357	2017-08-16T13:49:26.0000000
54	576003	509219	2017-08-16T13:49:23.0000000
55	629653	84056	2017-08-16T13:49:23.0000000
56	517823	626932	2017-08-16T13:49:19.0000000
57	629653	84056	2017-08-16T13:49:19.0000000
58	639138	99443	2017-08-16T13:49:17.0000000
59	639138	99443	2017-08-16T13:49:12.0000000
60	521964	641785	2017-08-16T13:49:11.0000000
61	517823	626932	2017-08-16T13:49:04.0000000
62	495872	616357	2017-08-16T13:49:00.0000000
63	179784	548028	2017-08-16T13:48:53.0000000
64	640534	19276	2017-08-16T13:48:50.0000000
65	576003	509219	2017-08-16T13:48:49.0000000
66	99443	639138	2017-08-16T13:48:49.0000000
67	84056	629653	2017-08-16T13:48:46.0000000
68	637273	562865	2017-08-16T13:48:46.0000000
69	639138	99443	2017-08-16T13:48:45.0000000
70	553063	639138	2017-08-16T13:48:38.0000000
71	99443	639138	2017-08-16T13:48:36.0000000
72	521964	641776	2017-08-16T13:48:35.0000000
73	99443	639138	2017-08-16T13:48:29.0000000
74	639138	553063	2017-08-16T13:48:29.0000000
75	581934	640781	2017-08-16T13:48:20.0000000
76	640534	19276	2017-08-16T13:48:19.0000000
77	495872	616357	2017-08-16T13:48:19.0000000
78	546141	585324	2017-08-16T13:48:19.0000000
79	640534	19276	2017-08-16T13:48:04.0000000
80	546141	217800	2017-08-16T13:48:01.0000000
81	619573	538212	2017-08-16T13:47:58.0000000
82	640534	19276	2017-08-16T13:47:53.0000000
83	556436	641864	2017-08-16T13:47:53.0000000
84	640278	640983	2017-08-16T13:47:42.0000000
85	341772	639138	2017-08-16T13:47:42.0000000
86	625552	481278	2017-08-16T13:47:38.0000000
87	509219	576003	2017-08-16T13:47:36.0000000
88	341772	639138	2017-08-16T13:47:35.0000000
89	553063	639138	2017-08-16T13:47:29.0000000
90	629653	84056	2017-08-16T13:47:28.0000000
91	509219	576003	2017-08-16T13:47:27.0000000
92	556436	641776	2017-08-16T13:47:27.0000000
93	452257	635300	2017-08-16T13:47:27.0000000
