	userid	otheruserid	dt	liked
0	639578	603227	2017-08-15T21:41:04.0000000	False
1	639578	601930	2017-08-15T21:41:04.0000000	False
2	639578	604978	2017-08-15T21:41:04.0000000	False
3	639578	604236	2017-08-15T21:41:04.0000000	False
4	639578	603072	2017-08-15T21:41:04.0000000	False
5	639578	603344	2017-08-15T21:41:04.0000000	True
6	639578	603681	2017-08-15T21:41:04.0000000	False
7	639578	107715	2017-08-15T21:41:04.0000000	False
8	639578	640763	2017-08-15T21:41:04.0000000	False
9	639578	602266	2017-08-15T21:41:04.0000000	False
10	87386	617662	2017-08-15T21:41:02.0000000	True
11	87386	618652	2017-08-15T21:40:58.0000000	True
12	636821	542190	2017-08-15T21:40:57.0000000	False
13	639058	139065	2017-08-15T21:40:57.0000000	True
14	639058	473783	2017-08-15T21:40:57.0000000	False
15	636821	540411	2017-08-15T21:40:57.0000000	False
16	636821	306684	2017-08-15T21:40:57.0000000	False
17	636821	376663	2017-08-15T21:40:56.0000000	False
18	636821	608330	2017-08-15T21:40:56.0000000	False
19	636821	555368	2017-08-15T21:40:56.0000000	False
20	636821	529980	2017-08-15T21:40:56.0000000	False
21	636821	356841	2017-08-15T21:40:56.0000000	False
22	636821	491344	2017-08-15T21:40:56.0000000	False
23	636821	554750	2017-08-15T21:40:56.0000000	False
24	567594	632317	2017-08-15T21:40:56.0000000	True
25	640704	123756	2017-08-15T21:40:55.0000000	False
26	640704	11753	2017-08-15T21:40:55.0000000	True
27	619005	640593	2017-08-15T21:40:54.0000000	True
28	619005	640863	2017-08-15T21:40:54.0000000	False
29	619005	640748	2017-08-15T21:40:54.0000000	False
30	640713	614864	2017-08-15T21:40:54.0000000	False
31	640713	630519	2017-08-15T21:40:54.0000000	False
32	640713	612662	2017-08-15T21:40:54.0000000	False
33	640713	603643	2017-08-15T21:40:54.0000000	False
34	640713	508437	2017-08-15T21:40:54.0000000	True
35	601900	639076	2017-08-15T21:40:52.0000000	False
36	601900	435902	2017-08-15T21:40:52.0000000	True
37	639058	8041	2017-08-15T21:40:52.0000000	True
38	639058	469444	2017-08-15T21:40:52.0000000	False
39	636563	525394	2017-08-15T21:40:50.0000000	True
40	567594	539330	2017-08-15T21:40:49.0000000	False
41	639695	283308	2017-08-15T21:40:49.0000000	False
42	639695	605127	2017-08-15T21:40:49.0000000	False
43	639695	622009	2017-08-15T21:40:49.0000000	False
44	639695	532218	2017-08-15T21:40:49.0000000	False
45	639695	638311	2017-08-15T21:40:49.0000000	False
46	639695	525788	2017-08-15T21:40:49.0000000	False
47	639695	557215	2017-08-15T21:40:49.0000000	False
48	639695	27204	2017-08-15T21:40:49.0000000	False
49	567594	640452	2017-08-15T21:40:49.0000000	False
50	639695	34416	2017-08-15T21:40:49.0000000	True
51	567594	638540	2017-08-15T21:40:49.0000000	True
52	640870	164796	2017-08-15T21:40:49.0000000	True
53	619005	640867	2017-08-15T21:40:49.0000000	True
54	636563	466020	2017-08-15T21:40:49.0000000	True
55	640870	143243	2017-08-15T21:40:49.0000000	False
56	639058	7623	2017-08-15T21:40:49.0000000	True
57	567594	639168	2017-08-15T21:40:48.0000000	True
58	640704	112792	2017-08-15T21:40:47.0000000	False
59	640704	127242	2017-08-15T21:40:47.0000000	True
60	636563	468960	2017-08-15T21:40:46.0000000	True
61	639577	509081	2017-08-15T21:40:46.0000000	True
62	567594	374203	2017-08-15T21:40:44.0000000	False
63	567594	546357	2017-08-15T21:40:44.0000000	True
64	567594	640584	2017-08-15T21:40:44.0000000	False
65	567594	540010	2017-08-15T21:40:44.0000000	False
66	567594	640097	2017-08-15T21:40:44.0000000	False
67	567594	605211	2017-08-15T21:40:44.0000000	False
68	567594	639332	2017-08-15T21:40:44.0000000	False
69	567594	503313	2017-08-15T21:40:44.0000000	True
70	640901	553332	2017-08-15T21:40:43.0000000	False
71	640901	551211	2017-08-15T21:40:43.0000000	False
72	639577	573672	2017-08-15T21:40:43.0000000	True
73	640901	556768	2017-08-15T21:40:43.0000000	True
74	636563	558688	2017-08-15T21:40:42.0000000	True
